name,shape,social_facebook,website
All Souls College,"POLYGON ((-1.2529353 51.7538886 0,-1.2528694 51.7538885 0,-1.2528258 51.7537859 0,-1.2527521 51.7536154 0,-1.252715 51.7535254 0,-1.2527064 51.7535135 0,-1.2525681 51.7535162 0,-1.2524982 51.753518 0,-1.2523614 51.75352 0,-1.2523593 51.7535043 0,-1.2523414 51.7533709 0,-1.2521985 51.7533827 0,-1.2521373 51.7533848 0,-1.2521184 51.7533143 0,-1.252077 51.7531734 0,-1.2520666 51.7531357 0,-1.252037 51.7529708 0,-1.2520161 51.7528546 0,-1.2520973 51.7528507 0,-1.2521872 51.7528464 0,-1.2521849 51.7528312 0,-1.2524326 51.7528188 0,-1.2525016 51.7528154 0,-1.2525766 51.752811 0,-1.2527656 51.7527973 0,-1.2528156 51.7527884 0,-1.2530169 51.7527521 0,-1.2531027 51.7527378 0,-1.25327 51.7527114 0,-1.2532892 51.7527476 0,-1.2532985 51.7527651 0,-1.253372 51.7529037 0,-1.253444 51.7530393 0,-1.2534491 51.7530503 0,-1.2534583 51.7530751 0,-1.2535291 51.7532501 0,-1.2536676 51.7535461 0,-1.253685 51.753584 0,-1.2537109 51.7536422 0,-1.2537753 51.7537922 0,-1.253697 51.7538052 0,-1.2533986 51.7538579 0,-1.2532349 51.7538872 0,-1.2529809 51.7539068 0,-1.2529788 51.7538887 0,-1.2529353 51.7538886 0))",https://www.facebook.com/pages/All-Souls-College-Oxford/108582172500121?fref=ts,http://www.asc.ox.ac.uk/
Balliol College,"POLYGON ((-1.2584285 51.7555201 0,-1.2584429 51.7555677 0,-1.2584652 51.7556096 0,-1.2589203 51.7555524 0,-1.2589 51.7554723 0,-1.2588701 51.7553453 0,-1.2588663 51.7553308 0,-1.2588451 51.7552395 0,-1.258815 51.7551911 0,-1.2587618 51.7551053 0,-1.2587087 51.7550198 0,-1.2586597 51.7549409 0,-1.2585349 51.7547312 0,-1.2585045 51.7546118 0,-1.2584716 51.7544919 0,-1.2584174 51.754241 0,-1.2583985 51.7542375 0,-1.2572921 51.7543963 0,-1.2571998 51.7544142 0,-1.2571726 51.7544185 0,-1.2568936 51.7544739 0,-1.2570789 51.7548476 0,-1.2570646 51.7548597 0,-1.2571227 51.7549732 0,-1.2573114 51.7549588 0,-1.2574361 51.7551301 0,-1.2574683 51.7551218 0,-1.2574953 51.7551617 0,-1.2575783 51.7552419 0,-1.2575963 51.7552699 0,-1.257653 51.7552536 0,-1.2577026 51.75532 0,-1.2577185 51.7553412 0,-1.2577797 51.7553475 0,-1.2578035 51.7554224 0,-1.2577749 51.7554725 0,-1.2578538 51.7555848 0,-1.2579049 51.7556476 0,-1.2583621 51.7555287 0,-1.2584285 51.7555201 0))",NA,http://www.balliol.ox.ac.uk/
Brasenose College,"POLYGON ((-1.2553351 51.7528543 0,-1.255317 51.7529463 0,-1.2552846 51.7529918 0,-1.2551002 51.7530007 0,-1.255111 51.7530413 0,-1.2550799 51.753045 0,-1.2550938 51.7530474 0,-1.2551093 51.7530545 0,-1.2551193 51.7530626 0,-1.255125 51.7530739 0,-1.2551267 51.7530857 0,-1.2551211 51.753096 0,-1.2551121 51.7531039 0,-1.255102 51.7531099 0,-1.2550908 51.7531128 0,-1.255112 51.7532054 0,-1.2551195 51.7532414 0,-1.2551342 51.7533123 0,-1.2551571 51.7534046 0,-1.2551605 51.7534184 0,-1.2551744 51.7534779 0,-1.2548598 51.7535049 0,-1.2546243 51.7535251 0,-1.2544756 51.7535378 0,-1.2544013 51.7533945 0,-1.2543642 51.7533224 0,-1.2543567 51.7533068 0,-1.2543054 51.7531882 0,-1.2542876 51.7531314 0,-1.2542294 51.7529851 0,-1.2542259 51.7529219 0,-1.2542063 51.7528426 0,-1.2541903 51.7527873 0,-1.254179 51.752734 0,-1.2541636 51.752661 0,-1.2541383 51.7525415 0,-1.2544907 51.7524914 0,-1.2549458 51.7524267 0,-1.2550889 51.7524064 0,-1.2553036 51.752376 0,-1.2553538 51.7525261 0,-1.2553129 51.7525345 0,-1.2553248 51.752571 0,-1.2553405 51.7526012 0,-1.2553402 51.7526438 0,-1.2553399 51.7526829 0,-1.2553391 51.752784 0,-1.2553356 51.7528455 0,-1.2553351 51.7528543 0))",https://www.facebook.com/pages/Brasenose-College/110706878471?fref=ts,http://www.bnc.ox.ac.uk/
Christ Church,"POLYGON ((-1.2546005 51.7516519 0,-1.2545148 51.7516484 0,-1.2544338 51.7515923 0,-1.2543196 51.7515715 0,-1.2542181 51.7513037 0,-1.2541713 51.7511123 0,-1.2541683 51.7510989 0,-1.2541628 51.7510765 0,-1.2541573 51.7510428 0,-1.2541391 51.7509716 0,-1.2541652 51.7509693 0,-1.254141 51.750864 0,-1.2541314 51.7506671 0,-1.2541721 51.7506696 0,-1.254145 51.750554 0,-1.2541323 51.750465 0,-1.2541227 51.750389 0,-1.2541402 51.7501972 0,-1.2541822 51.7501953 0,-1.2541797 51.7500551 0,-1.2540901 51.7500492 0,-1.2540543 51.7500486 0,-1.2540179 51.7500485 0,-1.2540153 51.7500722 0,-1.2539849 51.7500693 0,-1.2539488 51.7500714 0,-1.2539142 51.7500913 0,-1.253916 51.7501084 0,-1.2539163 51.7501259 0,-1.2539214 51.7501527 0,-1.2539174 51.7501726 0,-1.2537986 51.7501829 0,-1.2537662 51.750186 0,-1.2537614 51.7501869 0,-1.2537598 51.7501827 0,-1.2530008 51.7502878 0,-1.2529348 51.7500421 0,-1.252926 51.7498887 0,-1.2529202 51.749789 0,-1.2529331 51.749458 0,-1.2535546 51.7494662 0,-1.2536707 51.7494863 0,-1.2537956 51.7495086 0,-1.253785 51.7494285 0,-1.2543786 51.7493984 0,-1.2544774 51.7493926 0,-1.2544944 51.7493925 0,-1.2552372 51.7493547 0,-1.2552293 51.7492901 0,-1.2555562 51.7492716 0,-1.2556418 51.7492342 0,-1.2555959 51.7492109 0,-1.2565729 51.7491703 0,-1.2566473 51.7495388 0,-1.2567052 51.7496893 0,-1.2567217 51.7497872 0,-1.2567003 51.7501284 0,-1.2567134 51.7502067 0,-1.2567164 51.7502245 0,-1.2567371 51.7503248 0,-1.2568058 51.7505535 0,-1.2568324 51.7505691 0,-1.2568659 51.7506858 0,-1.256891 51.7507328 0,-1.2570324 51.7509977 0,-1.2569848 51.7510084 0,-1.2569614 51.7510057 0,-1.256953 51.7509889 0,-1.2568833 51.7510038 0,-1.2568913 51.7510237 0,-1.2568296 51.7510354 0,-1.2566955 51.7510503 0,-1.2567492 51.7511068 0,-1.2567602 51.7511341 0,-1.2568082 51.7512529 0,-1.2567586 51.7512538 0,-1.2566567 51.7512576 0,-1.2561447 51.7513248 0,-1.2557999 51.7514187 0,-1.2558028 51.7514476 0,-1.2556253 51.751482 0,-1.2555836 51.7514845 0,-1.2554887 51.7514903 0,-1.2554977 51.7515272 0,-1.2555075 51.7515673 0,-1.2549424 51.75162 0,-1.2546005 51.7516519 0))",https://www.facebook.com/chchoxford,http://www.chch.ox.ac.uk/
Corpus Christi College,"MULTIPOLYGON (((-1.2532213 51.7518777 0,-1.2531249 51.7518942 0,-1.2530651 51.7517618 0,-1.2530323 51.7517669 0,-1.2529917 51.7516774 0,-1.2527262 51.751727 0,-1.2525261 51.7517523 0,-1.252513 51.7518009 0,-1.2524889 51.7517298 0,-1.2524748 51.7517211 0,-1.2524553 51.7517224 0,-1.2524119 51.7516415 0,-1.2523759 51.7514573 0,-1.25237 51.7514435 0,-1.252364 51.7514297 0,-1.2523418 51.7513779 0,-1.2524924 51.7513531 0,-1.2529087 51.7512804 0,-1.2529736 51.7513851 0,-1.2530832 51.7515855 0,-1.2531234 51.7516705 0,-1.2532213 51.7518777 0)),((-1.254141 51.750864 0,-1.2541314 51.7506671 0,-1.2541721 51.7506696 0,-1.254145 51.750554 0,-1.2541323 51.750465 0,-1.2541227 51.750389 0,-1.2541402 51.7501972 0,-1.2541822 51.7501953 0,-1.2541797 51.7500551 0,-1.2540901 51.7500492 0,-1.2540543 51.7500486 0,-1.2540178 51.7500486 0,-1.2540153 51.7500722 0,-1.2539849 51.7500693 0,-1.2539488 51.7500714 0,-1.2539142 51.7500913 0,-1.253916 51.7501084 0,-1.2539163 51.7501259 0,-1.2539214 51.7501527 0,-1.2539174 51.7501726 0,-1.2537994 51.7501833 0,-1.2537653 51.7501878 0,-1.2530008 51.7502878 0,-1.2530515 51.7504697 0,-1.2530533 51.7507269 0,-1.253044 51.7509375 0,-1.2530434 51.7510055 0,-1.2530973 51.7511461 0,-1.2532779 51.7511072 0,-1.2533229 51.7511008 0,-1.2533741 51.7510831 0,-1.2534161 51.7510823 0,-1.2534193 51.7510908 0,-1.2535505 51.7510895 0,-1.25362 51.7510883 0,-1.2536775 51.7510891 0,-1.2537172 51.751088 0,-1.2537564 51.7510869 0,-1.2538223 51.7510864 0,-1.254023 51.7510823 0,-1.2541628 51.7510765 0,-1.2541573 51.7510428 0,-1.2541391 51.7509716 0,-1.2541652 51.7509693 0,-1.254141 51.750864 0)))",https://www.facebook.com/corpuschristi.collegeoxford?fref=ts,http://www.ccc.ox.ac.uk/
Exeter College,"MULTIPOLYGON (((-1.2553241 51.7541752 0,-1.2552917 51.7540622 0,-1.2552587 51.7539763 0,-1.2551926 51.7538042 0,-1.2550417 51.7538264 0,-1.2550697 51.7539018 0,-1.254725 51.7539527 0,-1.2546932 51.75387 0,-1.2545985 51.7538839 0,-1.2545932 51.7538702 0,-1.2545646 51.7537956 0,-1.2545025 51.7536275 0,-1.2552004 51.7535509 0,-1.2554736 51.7535262 0,-1.2555881 51.753505 0,-1.2559209 51.7534489 0,-1.2561878 51.7534083 0,-1.2562156 51.7534787 0,-1.2562511 51.7535732 0,-1.2562771 51.7536232 0,-1.2562817 51.7536333 0,-1.2563044 51.7536867 0,-1.2563456 51.7537825 0,-1.256415 51.7539252 0,-1.2564413 51.7539761 0,-1.2564823 51.7540555 0,-1.2565602 51.7542064 0,-1.256464 51.7542283 0,-1.2562541 51.7542622 0,-1.2560784 51.75429 0,-1.2559408 51.7543106 0,-1.2558717 51.7543212 0,-1.2556222 51.7543511 0,-1.2556068 51.7543073 0,-1.2556018 51.7542903 0,-1.2555884 51.7542441 0,-1.2555821 51.7542206 0,-1.2555495 51.7541413 0,-1.2553241 51.7541752 0)),((-1.2566717 51.754157 0,-1.256784 51.7541386 0,-1.2567701 51.754106 0,-1.2568247 51.7540971 0,-1.2568182 51.7540816 0,-1.2566473 51.7541127 0,-1.2566717 51.754157 0)))",NA,http://www.exeter.ox.ac.uk/
Green Templeton College,"POLYGON ((-1.2630228 51.7617732 0,-1.2627545 51.7617353 0,-1.2624964 51.761357 0,-1.2623025 51.761072 0,-1.2622049 51.7609375 0,-1.2623127 51.760922 0,-1.2624811 51.7609183 0,-1.2633638 51.760642 0,-1.2634781 51.7605682 0,-1.2637868 51.7605746 0,-1.2642348 51.76062 0,-1.2643872 51.7607369 0,-1.2644907 51.7608194 0,-1.2645986 51.7609386 0,-1.2646405 51.7609872 0,-1.2645944 51.7610015 0,-1.2646431 51.7610617 0,-1.2646944 51.7610389 0,-1.2647078 51.7610526 0,-1.2642364 51.761252 0,-1.2634408 51.7615891 0,-1.2632352 51.761692 0,-1.2630228 51.7617732 0))",https://www.facebook.com/136041343108222,http://www.gtc.ox.ac.uk/
Harris Manchester College,"POLYGON ((-1.2518566 51.7560851 0,-1.2528673 51.7561452 0,-1.2529153 51.7561611 0,-1.2530192 51.7561696 0,-1.2530009 51.7561353 0,-1.2529055 51.7559513 0,-1.2528453 51.755835 0,-1.2527824 51.7557166 0,-1.2526467 51.7554528 0,-1.2526337 51.7554315 0,-1.2526255 51.7554181 0,-1.2526072 51.7553836 0,-1.2525997 51.7553186 0,-1.252563 51.755243 0,-1.2525579 51.7552219 0,-1.2525541 51.755206 0,-1.2525456 51.755093 0,-1.2524753 51.7550774 0,-1.25245 51.7550702 0,-1.2523558 51.7550679 0,-1.2523309 51.7550655 0,-1.2521836 51.7550628 0,-1.2520304 51.7550595 0,-1.2518982 51.7550564 0,-1.2518105 51.7550523 0,-1.2518014 51.7551462 0,-1.2518121 51.7551469 0,-1.2518125 51.7553197 0,-1.251813 51.7555362 0,-1.2518177 51.755666 0,-1.2518134 51.7556785 0,-1.2518149 51.7557289 0,-1.2518307 51.7560311 0,-1.2518566 51.7560851 0))",https://www.facebook.com/pages/Harris-Manchester-College-Oxford/103799396325713,http://www.hmc.ox.ac.uk/
Hertford College,"POLYGON ((-1.2531564 51.7541042 0,-1.2531563 51.7541277 0,-1.253159 51.7542283 0,-1.2531587 51.7543108 0,-1.2531587 51.7544271 0,-1.2534145 51.7544364 0,-1.2537156 51.7544473 0,-1.2537419 51.7544483 0,-1.2537573 51.7545253 0,-1.2536644 51.7545226 0,-1.2536545 51.7545223 0,-1.2536508 51.7546777 0,-1.2536375 51.7546907 0,-1.2531746 51.7546831 0,-1.2530993 51.7546702 0,-1.2530908 51.7547145 0,-1.2530179 51.7547077 0,-1.2529937 51.7548039 0,-1.2530653 51.7548108 0,-1.2531171 51.7548158 0,-1.2531515 51.7548191 0,-1.2531055 51.7549094 0,-1.2531064 51.7550231 0,-1.2532981 51.7550192 0,-1.2535256 51.7550146 0,-1.2535617 51.7550139 0,-1.2537847 51.755001 0,-1.2539476 51.7549915 0,-1.2539333 51.7549088 0,-1.2540145 51.7549026 0,-1.2540242 51.754902 0,-1.2539577 51.7547971 0,-1.254075 51.7547691 0,-1.2540987 51.7547634 0,-1.2542091 51.7547463 0,-1.2541767 51.7547025 0,-1.2540985 51.7545967 0,-1.2540433 51.7545398 0,-1.2539601 51.7545358 0,-1.2538123 51.7545272 0,-1.2538036 51.7544454 0,-1.2538533 51.7544342 0,-1.2538095 51.7542395 0,-1.253832 51.7542228 0,-1.2538268 51.7542016 0,-1.2537953 51.7541858 0,-1.2537836 51.7541389 0,-1.2537607 51.7540589 0,-1.2537857 51.7540422 0,-1.253782 51.7540209 0,-1.2537508 51.7540109 0,-1.253733 51.7539326 0,-1.2537041 51.7538274 0,-1.253697 51.7538052 0,-1.2533986 51.7538579 0,-1.2532349 51.7538872 0,-1.2529809 51.7539068 0,-1.2529927 51.7540089 0,-1.2529932 51.7540219 0,-1.2531477 51.7540192 0,-1.2531564 51.7541042 0))",https://www.facebook.com/pages/Hertford-College-Oxford/109172079100828?fref=ts,http://www.hertford.ox.ac.uk/
Jesus College,"POLYGON ((-1.2573977 51.7530387 0,-1.2574118 51.7530522 0,-1.2574836 51.7531204 0,-1.2575988 51.7532753 0,-1.2576289 51.7533315 0,-1.2578486 51.7532928 0,-1.2578801 51.7533557 0,-1.2579175 51.7533485 0,-1.2581653 51.753301 0,-1.2582134 51.7532918 0,-1.2582546 51.7533742 0,-1.2582909 51.7534466 0,-1.2583416 51.7535413 0,-1.2583444 51.7535466 0,-1.2582715 51.7535581 0,-1.2581711 51.753575 0,-1.2580775 51.7535937 0,-1.2579228 51.7536183 0,-1.2576999 51.7536543 0,-1.2575135 51.7536854 0,-1.2572397 51.7537298 0,-1.2570574 51.7537691 0,-1.2566995 51.7538454 0,-1.2565544 51.7538689 0,-1.2564672 51.7536837 0,-1.2564361 51.7536136 0,-1.2563972 51.7535414 0,-1.2563915 51.7535311 0,-1.256337 51.7534269 0,-1.2563012 51.7533481 0,-1.2564733 51.75331 0,-1.2566267 51.7532761 0,-1.2568868 51.753221 0,-1.2569011 51.7532173 0,-1.2569556 51.7532034 0,-1.257224 51.7530911 0,-1.2572553 51.753077 0,-1.2573977 51.7530387 0))",https://www.facebook.com/pages/Jesus-College-Oxford/107863505907747?fref=ts,http://www.jesus.ox.ac.uk/
