value,service_station
WHSmith,Annandale Water Services A74(M)
WH Smith (with Costa Express),Baldock Services A1(M)
Whsmith,Beaconsfield Services M40
WH Smith,Birchanger Green Services M11
Waitrose,Birchanger Green Services M11
WHSmith,Bothwell Services M74
WHSmiths,Bridgwater Services M5
WHSmiths,Burton-in-Kendal Services M6
WHSmith,Cambridge Services A14
Waitrose,Cardiff Gate Services M4
WHSmiths,Cardiff West Services M4
WHSmith,Charnock Richard Services M6
WHSmith,Cherwell Valley Services M40
West Cornwall Pasty Co.,Cherwell Valley Services M40
WHSmith,Chester Services M56
W H Smiths,Chieveley Services M4
WHSmith,Clacket Lane Services M25
WH Smith,Cullompton Services M5
WHSmith,Derby South Services Westbound A50
Whsmith,Doncaster North Services M18
WH Smith,Donington Park Services M1
WHSmith,Durham Services A1(M)
WHSmith,Ferrybridge Services M62
WHSmith,Fleet Services M3
Waitrose,Fleet Services M3
WH Smith,Gordano Services M5
Waitrose,Gordano Services M5
WHSmith,Hamilton Services M74
Waitrose,Hopwood Park Services M42
Westmorland shop,J38 Truckstop M6
Waitrose,Keele Services M6
WHSmith,Killington Lake Services M6
WHSmith,Lancaster (Forton) Services M6
WHSmith,Leigh Delamere Services M4
WHSmiths,Lymm Services M6
WH Smith,Magor Services M4
WHSmith,Maidstone Services M20
WHSmiths,Medway Services M2
WHSmith,Membury Services M4
Waitrose (westbound only),Membury Services M4
WH smith,Michaelwood Services M5
WHSmiths,Newport Pagnell Services M1
Waitrose,Newport Pagnell Services M1
WHSmith,Northampton Services M1
WHSmith,Norton Canes Services M6 Toll
Waitrose,Oxford Services M40
WHSmith,Pont Abraham Services M4
WHSmiths,Reading Services M4
WHSmith,Sandbach Services M6
WH Smith,Scotch Corner Services A1(M)
WHSmith,Sedgemoor Services Southbound M5
Waitrose,South Mimms Services M25
W.H.Smiths,Stafford Services Northbound M6
WHSmith,Stafford Services Southbound M6
W H Smith,Stop24 Services (Folkestone) M20
WHSmith,Strensham Services M5
WHSmith,Taunton Deane Services M5
WHSmith,Tibshelf Services M1
WH Smith,Toddington Services M1
Waitrose,Warwick Services Northbound M40
WH Smith,Warwick Services Northbound M40
WH Smiths,Warwick Services Southbound M40
Waitrose,Warwick Services Southbound M40
Wh Smith,Washington Services A1(M)
WHSmith,Watford Gap Services M1
WH Smith,Woodall Services M1
Waitrose,Woodall Services M1
