property,value,service_station,directional,direction
Eat-In Food,"Starbucks, Papa John's, Burger King, Dunkin' Donuts, Harry Ramsdens",Abington Services M74,FALSE,Directionless
Eat-In Food,"Costa, Restbite, The Burger Company",Annandale Water Services A74(M),FALSE,Directionless
Eat-In Food,"KFC, Le Petit Four, McDonalds, Starbucks",Baldock Services A1(M),FALSE,Directionless
Eat-In Food,"Mcdonalds, Starbucks, Carvery Express, Wetherspoon's, KFC, Domino's Pizza, Gregg's, El Mexicana, Chozen Noodles, LP4",Beaconsfield Services M40,FALSE,Directionless
Eat-In Food,"Burger King, Greggs, Costa, EDC",Birch Services M62,FALSE,Directionless
Eat-In Food,"Burger King, KFC, Eat In",Birchanger Green Services M11,FALSE,Directionless
Eat-In Food,"McDonalds, Costa, Greggs.",Blackburn with Darwen Services M65,FALSE,Directionless
Eat-In Food,"Cafe Ritazza, Burger King, Fresh Express",Blyth Services A1(M),FALSE,Directionless
Eat-In Food,"Costa, Restbite",Bothwell Services M74,FALSE,Directionless
Eat-In Food,"Burger King, Costa Coffee, West Cornwall Pasty, Krispy Kreme Doughnuts, Ginsters Sandwiches",Bridgwater Services M5,FALSE,Directionless
Eat-In Food,"Burger King, Costa, EDC Restaurant",Burton-in-Kendal Services M6,FALSE,Directionless
Eat-In Food,"Starbucks, KFC, Eat In",Burtonwood Services M62,FALSE,Directionless
Eat-In Food,"McDonald's, El Mexicana, Costa, BakeHouse, Patiserie Valerie, M&S, KFC",Cambridge Services A14,FALSE,Directionless
Eat-In Food,"Starbucks, Burger King",Cardiff Gate Services M4,FALSE,Directionless
Eat-In Food,"Burger King, Greggs, Costa, Krispy Kreme, Subway",Cardiff West Services M4,FALSE,Directionless
Eat-In Food,"Restaurant, Burger King, Costa Coffee",Castlebellingham Services M1 Ireland,FALSE,Directionless
Eat-In Food,"Burger King, KFC,",Charnock Richard Services M6,FALSE,Directionless
Eat-In Food,"Costa, EDC, Burger King, UpperCrust",Cherwell Valley Services M40,FALSE,Directionless
Eat-In Food,"McDonalds, Costa, Chozen Noodle, Fresh Food Cafe, Krispy Creme",Chester Services M56,FALSE,Directionless
Eat-In Food,"Arlo's, Burger King, Costa Coffee, West Cornwall Pasty, Greggs",Chieveley Services M4,FALSE,Directionless
Eat-In Food,"McDonald's, Hot Food Co, Costa, Wild Bean Cafe",Clacket Lane Services M25,FALSE,Directionless
Eat-In Food,"KFC, McDonald's, Starbucks, Eat In, Greggs, Papa John's Pizza, El Mexicana, Moodog, Chozen Noodle, Dessert Station, Costa Express Krispy Kreme, M&S Simply Food",Cobham Services M25,FALSE,Directionless
Eat-In Food,"Starbucks, Coffee Primo, Eat In, Burger King, KFC",Corley Services M6,FALSE,Directionless
Eat-In Food,"McDonald's, Costa Coffee",Cullompton Services M5,FALSE,Directionless
Eat-In Food,"Coffee Primo, Eat In",Derby South Services Eastbound A50,FALSE,Directionless
Eat-In Food,"LP4, KFC",Derby South Services Westbound A50,FALSE,Directionless
Eat-In Food,"Costa Coffee, Burger King, EDC, Greggs",Doncaster North Services M18,FALSE,Directionless
Eat-In Food,"Burger King, Harvester, Costa Coffee",Donington Park Services M1,FALSE,Directionless
Eat-In Food,"Costa, McDonalds",Durham Services A1(M),FALSE,Directionless
Eat-In Food,"Restaurant, Burger King, Costa Coffee",Enfield Services M4 Ireland,FALSE,Directionless
Eat-In Food,"Burger King, M&S Simply Food, Costa, EDC (The Eat Drink Co.), WHSmith, Greggs, Ladbrokes, Costa Express, Krispy Kreme, West Cornwall Pasty Co.",Exeter Services M5,FALSE,Directionless
Eat-In Food,"Costa, Ernies, Burger King, Greggs",Ferrybridge Services M62,FALSE,Directionless
Eat-In Food,"KFC, Burger King, McDonalds, Eat In, Starbucks",Fleet Services M3,FALSE,Directionless
Eat-In Food,"Greggs, Costa, Burger King, EDC",Frankley Services M5,FALSE,Directionless
