citations
"Fernandez MA, Arnel L, Gould J, McGibbon A, Grant R, Bell P, White S, Baxter M, Griffin X, Chesser T, Keene D, Kearney RS, White C, Costa ML. Research priorities in fragility fractures of the lower limb and pelvis: a UK priority setting partnership with the James Lind Alliance. BMJ Open. 2018 Oct 3;8(10):e023301."
"Costa ML, Achten J, Bruce J, Tutton E, Petrou S, Lamb SE, Parsons NR, UK WOLLF Collaborators Effect of Negative Pressure Wound Therapy vs Standard Wound Management on 12-Month Disability Among Adults With Severe Open Fracture of the Lower Limb: The WOLLF Randomized Clinical Trial. JAMA. 2018 Jun ;319(22):2280–2288"
"Costa ML, Achten J, Hennings S, Boota N, Griffin J, Petrou S, Maredza M, Dritsaki M, Wood T, Masters J, Pallister I, Lamb SE, Parsons NR. Intramedullary nail fixation versus locking plate fixation for adults with a fracture of the distal tibia: the UK FixDT RCT. Health Technol Assess 2018;22(25)"
"Sims AL, Parsons N, Achten J, Griffin XL, Costa ML, Reed MR. A randomized controlled trial comparing the Thompson hemiarthroplasty with the Exeter polished tapered stem and Unitrax modular head in the treatment of displaced intracapsular fractures of the hip. Bone Joint J. 2018 Mar 1;100-B(3):352-360"
"Costa ML, Achten J, Foguet P, Parsons NR; Young Adult Hip Arthroplasty team. Comparison of hip function and quality of life of total hip arthroplasty and resurfacing arthroplasty in the treatment of young patients with arthritis of the hip joint at 5 years. BMJ Open. 2018 Mar 12;8(3)"
"Costa ML, Achten J, Griffin J, Petrou S, Pallister I, Lamb SE, Parsons NR; FixDT Trial Investigators. Effect of Locking Plate Fixation vs Intramedullary Nail Fixation on 6-Month Disability Among Adults With Displaced Fracture of the Distal Tibia: The UK FixDT Randomized Clinical Trial. JAMA. 2017 Nov 14;318(18):1767-1776"
"Wall PDH, Parsons NR, Parsons H, Achten J, Balasubramanian S, Thompson P, Costa ML on behalf of A. P. Sprowson and the PAKA Study Group. A pragmatic randomised controlled trial comparing the efficacy of a femoral nerve block and periarticular infiltration for early pain relief following total knee arthroplasty. Bone Joint J. 2017 Jul;99-B(7):904-911"
"Pulikottil-Jacob R, Connock M, Kandala NB, Mistry H, Grove A, Freeman K, Costa M, Sutcliffe P, Clarke A. Has Metal-On-Metal Resurfacing Been a Cost-Effective Intervention for Health Care Providers?-A Registry Based Study. PLoS One. 2016 Nov 1;11(11)"
"Perry DC, Metcalfe D, Griffin XL, Costa ML. Inequalities in use of total hip arthroplasty for hip fracture: population based study. BMJ. 2016 Apr 27;353"
"Dreinhöfer KE, Mitchell PJ, Bégué T, Cooper C, Costa ML, Falaschi P, Hertz K, Marsh D, Maggi S, Nana A, Palm H, Speerin R, Magaziner J; on behalf of: the Fragility Fracture Network (FFN); European Geriatric Medicine Society (EuGMS); European Federation of National Associations of Orthopaedics and Traumatology (EFORT); International Collaboration of Orthopaedic Nursing (ICON); International Geriatric Fracture Society (IGFS); International Osteoporosis Foundation (IOF). A global call to action to improve the care of people with fragility fractures. Injury. 2018 Jun 23"
"Markkula SP, Leung N, Allen VB, Furniss D. Surgical interventions for the prevention or treatment of lymphoedema after breast cancer treatment. Cochrane Database Syst Rev. (in press) Riesmeijer SA, Manley OWG, Ng M, Nolte IM, Broekstra DC, Werker PMN, Furniss D. A weighted genetic risk score predicts surgical recurrence independent of high-risk clinical features in Dupuytren´s disease. Plast. Recon. Surg (in press) Greig A, Gardiner MD, Sierakowski A, Zweifel CJ, Pinder RM, Furniss D, Cook JA, Beard D, Farrar N, Cooper CD, Jain A; NINJA Pilot Collaborative. (2017) Randomized feasibility trial of replacing or discarding the nail plate after nail-bed repair in children. Br J Surg. Nov;104(12):1634-1639. doi: 10.1002/bjs.10673. Sharkey AR, King SW, Kuo RY, Bickerton SB, Ramsden AJ, Furniss D.(2017) Measuring Limb Volume: Accuracy and Reliability of Tape Measurement Versus Perometer Measurement. Lymphat Res Biol. Sep 28. doi: 10.1089/lrb.2017.0039. Ng M, Thakkar D, Southam L, Werker P, Ophoff R, Becker K, Nothnagel M, Franke A, Nürnberg P, Espirito-Santo AI, Izadi D, Hennies HC, Nanchahal J, Zeggini E, Furniss D. (2017) A Genome-wide Association Study of Dupuytren Disease Reveals 17 Additional Variants Implicated in Fibrosis. Am J Hum Genet. 7;101(3):417-427. doi: 10.1016/j.ajhg.2017.08.006. Jagodzinski, N. A., Ibish, S., Furniss, D. (2017). Surgical site infection after hand surgery outside the operating theatre: a systematic review.. J Hand Surg Eur Vol, 42(3), 289-294. doi:10.1177/1753193416676408 Sharkey, A. R., King, S. W., Ramsden, A. J., Furniss, D. (2016). Do surgical interventions for limb lymphoedema reduce cellulitis attack frequency?. Microsurgery. doi:10.1002/micr.30115 Thomson, D. R., Trevatt, A. E., & Furniss, D. (2016). When should axillary drains be removed? A meta-analysis of time-limited versus volume controlled strategies for timing of drain removal following axillary lymphadenectomy.. J Plast Reconstr Aesthet Surg, 69(12), 1614-1620. doi:10.1016/j.bjps.2016.09.027"
